[2017-04-27 10:07:07] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:10:06] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:15:17] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:19:19] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:22:58] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:37:22] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:40:23] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:42:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:47:01] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:50:25] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 10:58:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:14:34] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:23:35] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:27:28] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:30:45] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:37:59] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:47:58] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:50:31] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:53:38] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:55:34] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 11:58:30] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:00:12] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: amp-on-off-for-all-pages',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/plugins/accelerated-mobile-pages/accelerated-moblie-pages.php',   'line' => 27, ) [] []
[2017-04-27 12:00:24] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:02:49] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:05:23] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:07:32] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:09:29] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:11:25] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:13:28] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:15:22] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:17:38] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:19:36] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:21:31] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:24:06] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:27:33] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:29:36] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:31:22] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:33:42] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:35:36] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:37:36] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:40:57] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:43:48] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:45:56] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:49:01] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:50:16] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined property: stdClass::$slug',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/class-wp-plugin-install-list-table.php',   'line' => 52, ) [] []
[2017-04-27 12:50:30] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined property: stdClass::$slug',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/class-wp-plugin-install-list-table.php',   'line' => 52, ) [] []
[2017-04-27 12:50:32] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined property: stdClass::$slug',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/class-wp-plugin-install-list-table.php',   'line' => 52, ) [] []
[2017-04-27 12:50:37] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined property: stdClass::$slug',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/class-wp-plugin-install-list-table.php',   'line' => 52, ) [] []
[2017-04-27 12:51:29] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:53:48] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:54:00] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined offset: 1',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/dashboard.php',   'line' => 1227, ) [] []
[2017-04-27 12:56:02] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 12:58:24] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:01:05] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:03:28] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:05:50] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:08:30] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:12:22] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:15:22] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:18:13] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:20:36] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:24:11] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
